CountryName,year,Life Ladder,Log GDP,Social support,life exp,Free Life choice,Generosity,Corruption%,Posi affect,Nega affect,Confi in gov,Democratic,Delivery,GINI 00-17,gini(hhold income),Trust(81-84),Trust(94-98),Trust(05-09)
Honduras,2018,5.908423901,8.425020218,0.827067018,67.19999695,0.872161686,0.108385473,0.803564787,0.871844649,0.287357897,0.398913682,-0.529653072,-0.682249129,0.544470588,0.672158837,,,
Hungary,2018,5.935770988,10.24859905,0.940591395,67.59999847,0.692627072,-0.244620562,0.911277413,0.676073134,0.201082885,0.388044029,0.536777139,0.42457962,0.297916667,0.269713759,0.331434399,0.22461538,0.288842171
India,2018,3.818068743,8.839162827,0.638051987,60.09999847,0.890443385,0.073478818,0.80526334,0.65728718,0.357458085,0.753280878,-0.288844347,-0.015170598,0.351666667,0.428205669,,0.328431368,0.206896558
Indonesia,2018,5.340295792,9.359265327,0.809378862,62.09999847,0.879374385,0.502897859,0.867729425,0.863717854,0.295986801,0.837602735,-0.17685011,-0.114464082,0.354555556,0.464347184,,,0.410996199
Iran,2018,4.278117657,9.823831558,0.673764706,66,0.603319883,0.05342691,0.703439772,0.553196609,0.493148893,0.549940705,-1.312347293,-0.844763994,0.408857143,0.44058615,,,0.105361827
Iraq,2018,5.099589825,9.652755737,0.793673038,60.20000076,0.643226683,-0.103620291,0.886389852,0.659687817,0.466499865,0.340682983,-1.77150774,-1.424551249,0.2905,0.510258555,,,0.391369611
Ireland,2018,6.962335587,11.16839504,0.937862396,72.30000305,0.861471593,0.145864114,0.362210244,0.810857236,0.213050067,0.618405282,1.174670815,1.506823421,0.326153846,0.366410613,,,
Israel,2018,6.92717886,10.42409515,0.90959543,73.30000305,0.724662304,0.057725761,0.770134807,0.66348964,0.28206256,0.422329724,-0.140643656,1.058998585,0.406142857,0.261861771,,,
Italy,2018,6.516526699,10.4839983,0.912656128,73.59999847,0.650009274,-0.018475328,0.887824833,0.649023056,0.402975351,0.206626192,0.678355575,0.391939759,0.344,0.457490861,,,0.282520324
Ivory Coast,2018,5.26837492,8.224980354,0.620882571,49.5,0.712590039,-0.034882672,0.790966868,0.682098389,0.385631382,0.535438716,-0.573687255,-0.459983766,0.42,0.52024436,,,
Japan,2018,5.793575287,10.57881451,0.886431932,75,0.77347213,-0.267349422,0.686784506,0.703355014,0.185300156,0.384880394,1.041165233,1.490977407,0.321,0.418661803,0.407622576,,0.3658759
Jordan,2018,4.638933659,9.025131226,0.799544334,66.80000305,0.762420297,-0.180878341,,,,,-0.540568948,0.144867927,0.343,0.391051114,,,0.30873093
Kazakhstan,2018,6.00763607,10.1161108,0.936656713,64.59999847,0.84018296,-0.104368672,0.82378298,0.69319874,0.161542282,0.615031958,-0.585732698,-0.192741677,0.301705882,0.384010792,,,
Kenya,2018,4.655702591,8.03166008,0.706719875,60.09999847,0.821412981,0.307633042,0.844244063,0.759102881,0.236920774,0.675367296,-0.762383461,-0.475130349,0.4365,0.584187031,,,
Kosovo,2018,6.391825676,9.220754623,0.82240653,,0.88973701,0.266715139,0.922078192,0.778271317,0.170248464,0.347546548,-0.362785161,-0.398765326,0.290166667,0.402302265,,,
Kyrgyzstan,2018,5.297383308,8.14525795,0.898147821,64.09999847,0.94494766,0.289287597,0.907405317,0.763270557,0.203300148,0.497065544,-0.478132546,-0.705863774,0.302388889,0.388922274,,,
Laos,2018,4.85940218,8.797018051,0.70473814,58.70000076,0.906660974,0.144093767,0.634239852,0.852213562,0.331882507,,-0.662214696,-0.822445273,0.348,0.552090645,,,
Latvia,2018,5.901154041,10.18253708,0.913276315,66.80000305,0.608207643,-0.212169394,0.798949242,0.585233271,0.191870555,0.1971623,0.617429554,0.879729688,0.360333333,0.330420047,,0.239166662,
Lebanon,2018,5.167186737,9.359378815,0.829380631,67.09999847,0.60703069,-0.052007224,0.906650305,0.463880777,0.270688891,0.219074845,-1.071995139,-0.713803768,0.318,0.319639176,,,
