Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region,Rank
Brazil,2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,0.716,0.308,Developing,South America,South/Latin America,33
Guatemala,2017,6.325,9.026,0.826,64.5,0.915,-0.059,0.8,0.846,0.308,Developing,North America,South/Latin America,34
Chile,2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,0.838,0.291,Developed,South America,South/Latin America,35
Saudi Arabia,2017,6.294,10.764,0.84,66,0.814,-0.131,,0.775,0.306,Developing,Asia,Middle east,36
Lithuania,2017,6.273,10.429,0.926,66.7,0.749,-0.174,0.79,0.608,0.195,Developing,Europe,Europe,37
Spain,2017,6.23,10.586,0.903,74.1,0.756,-0.032,0.791,0.625,0.302,Developing,Europe,Europe,38
Bahrain,2017,6.227,10.771,0.876,68.5,0.906,0.136,,0.814,0.29,Developing,Asia,Arab States,39
Poland,2017,6.201,10.314,0.882,68.9,0.831,-0.122,0.639,0.677,0.203,Developing,Europe,Europe,40
Italy,2017,6.199,10.64,0.92,73.4,0.633,-0.035,0.867,0.661,0.323,Developing,Europe,Europe,41
Trinidad and Tobago,2017,6.192,10.183,0.916,63.5,0.859,0.015,0.911,0.846,0.248,Developed,North America,South/Latin America,42
Mauritius,2017,6.174,9.972,0.91,66.1,0.912,0.087,0.818,0.748,0.169,Developed,Africa,Africa,43
Slovenia,2017,6.167,10.509,0.928,70.8,0.921,-0.025,0.829,0.615,0.286,Developed,Europe,Europe,44
Colombia,2017,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,0.837,0.299,Developed,South America,South/Latin America,45
Kosovo,2017,6.149,9.262,0.792,,0.858,0.117,0.925,0.738,0.186,Developed,Europe,Europe,46
Kuwait,2017,6.094,10.837,0.853,66.5,0.884,-0.005,,0.692,0.307,Developing,Asia,Middle east,47
Romania,2017,6.09,10.211,0.811,66.9,0.839,-0.16,0.926,0.734,0.231,Developed,Europe,Europe,48
Hungary,2017,6.065,10.293,0.877,67.2,0.661,-0.139,0.886,0.735,0.181,Developed,Europe,Europe,49
Cyprus,2017,6.062,10.539,0.819,73.5,0.812,0.043,0.851,0.784,0.301,Developing,Europe,Europe,50
Finland,2018,7.858,10.783,0.962,71.9,0.938,-0.127,0.199,0.782,0.182,Developed,Europe,Europe,1
Denmark,2018,7.649,10.935,0.958,72.4,0.935,0.018,0.151,0.821,0.206,Developed,Europe,Europe,2
Switzerland,2018,7.509,11.134,0.93,74.1,0.926,0.101,0.301,0.792,0.192,Developed,Europe,Europe,3
Netherlands,2018,7.463,10.941,0.939,72.3,0.92,0.161,0.371,0.862,0.205,Developed,Europe,Europe,4
Norway,2018,7.444,11.056,0.966,73.2,0.96,0.094,0.268,0.827,0.212,Developed,Europe,Europe,5
Austria,2018,7.396,10.928,0.912,73,0.904,0.053,0.523,0.752,0.226,Developed,Europe,Europe,6
Sweden,2018,7.375,10.881,0.931,72.6,0.942,0.077,0.263,0.823,0.161,Developed,Europe,Europe,7
New Zealand,2018,7.37,10.66,0.954,73.2,0.949,0.12,0.207,0.845,0.168,Developed,Oceania,Asia & Pacific,8
Luxembourg,2018,7.243,11.645,0.902,72.6,0.884,-0.022,0.385,0.75,0.202,Developed,Europe,Europe,9
United Kingdom,2018,7.233,10.743,0.928,72.3,0.838,0.226,0.404,0.783,0.228,Developed,Europe,Europe,10
Australia,2018,7.177,10.811,0.94,73.6,0.916,0.146,0.405,0.759,0.187,Developed,Oceania,Asia & Pacific,11
Canada,2018,7.175,10.798,0.923,73.6,0.946,0.106,0.372,0.824,0.259,Developed,North America,North America,12
Costa Rica,2018,7.141,9.874,0.876,71.3,0.942,-0.107,0.781,0.87,0.326,Developing,North America,South/Latin America,13
Germany,2018,7.118,10.89,0.92,72.2,0.877,0.034,0.496,0.78,0.243,Developed,Europe,Europe,14
Czech Republic,2018,7.034,10.583,0.929,70.3,0.79,-0.292,0.851,0.714,0.178,Developed,Europe,Europe,15
