Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region
Kenya,2018,4.656,8.344,0.707,60.1,0.821,0.291,0.844,0.759,0.237,Developing,Africa,Africa
Kenya,2019,4.619,8.373,0.676,60.7,0.818,0.31,0.794,0.751,0.251,Developing,Africa,Africa
Kosovo,2017,6.149,9.262,0.792,,0.858,0.117,0.925,0.738,0.186,#N/A,Europe,Europe
Kosovo,2018,6.392,9.296,0.822,,0.89,0.269,0.922,0.778,0.17,#N/A,Europe,Europe
Kosovo,2019,6.425,9.339,0.843,,0.841,0.247,0.92,0.749,0.141,#N/A,Europe,Europe
Kuwait,2017,6.094,10.837,0.853,66.5,0.884,-0.005,,0.692,0.307,Developing,Asia,Middle east
Kuwait,2019,6.106,10.817,0.842,66.9,0.867,-0.104,,0.695,0.303,Developing,Asia,Middle east
Kyrgyzstan,2017,5.63,8.526,0.883,63.8,0.859,0.143,0.874,0.755,0.16,Developing,Asia,Asia & Pacific
Kyrgyzstan,2018,5.297,8.543,0.898,64.1,0.945,0.267,0.907,0.763,0.203,Developing,Asia,Asia & Pacific
Kyrgyzstan,2019,5.685,8.567,0.877,64.4,0.92,-0.002,0.885,0.766,0.207,Developing,Asia,Asia & Pacific
Laos,2017,4.623,8.89,0.707,58.3,0.891,0.073,0.592,0.873,0.344,#N/A,Asia,Asia & Pacific
Laos,2018,4.859,8.935,0.705,58.7,0.907,0.141,0.634,0.852,0.332,#N/A,Asia,Asia & Pacific
Laos,2019,5.197,8.965,0.729,59.1,0.906,0.061,0.62,0.878,0.306,#N/A,Asia,Asia & Pacific
Latvia,2017,5.978,10.257,0.895,66.5,0.7,-0.154,0.798,0.623,0.232,Developed,Europe,Europe
Latvia,2018,5.901,10.307,0.913,66.8,0.608,-0.212,0.799,0.585,0.192,Developed,Europe,Europe
Latvia,2019,5.97,10.336,0.936,67.1,0.698,-0.194,0.789,0.575,0.212,Developed,Europe,Europe
Lebanon,2017,5.154,9.681,0.777,66.6,0.605,-0.074,0.911,0.515,0.244,Developing,Asia,Middle east
Lebanon,2018,5.167,9.656,0.829,67.1,0.607,-0.066,0.907,0.464,0.271,Developing,Asia,Middle east
Lebanon,2019,4.024,9.597,0.866,67.6,0.447,-0.081,0.89,0.322,0.494,Developing,Asia,Middle east
Lesotho,2017,3.795,7.931,0.769,47.3,0.757,-0.145,0.797,0.746,0.255,Developing,Africa,Africa
Lesotho,2019,3.512,7.926,0.79,48.7,0.716,-0.131,0.915,0.735,0.273,Developing,Africa,Africa
Liberia,2017,4.424,7.324,0.685,55.3,0.733,-0.012,0.867,0.668,0.391,Developing,Africa,Africa
Liberia,2018,4.135,7.311,0.727,56.1,0.766,0.05,0.868,0.66,0.436,Developing,Africa,Africa
Liberia,2019,5.121,7.264,0.712,56.9,0.706,0.051,0.828,0.636,0.389,Developing,Africa,Africa
Libya,2017,5.647,9.491,0.823,62.3,0.779,-0.019,0.673,0.697,0.379,Developing,Africa,Middle east
Libya,2018,5.494,9.617,0.824,62.3,0.781,-0.101,0.646,0.706,0.399,Developing,Africa,Middle east
Libya,2019,5.33,9.627,0.827,62.3,0.762,-0.073,0.686,0.709,0.401,Developing,Africa,Middle east
Lithuania,2017,6.273,10.429,0.926,66.7,0.749,-0.174,0.79,0.608,0.195,Developed,Europe,Europe
Lithuania,2018,6.309,10.474,0.929,67.3,0.699,-0.237,0.852,0.517,0.214,Developed,Europe,Europe
Lithuania,2019,6.064,10.518,0.918,67.9,0.78,-0.251,0.783,0.566,0.276,Developed,Europe,Europe
Luxembourg,2017,7.061,11.634,0.905,72.6,0.903,0.044,0.33,0.766,0.184,Developed,Europe,Europe
